ticket_id,team_id,ticket_date,resolution_date,client_id
1,1,2023-10-24,2023-11-18,129
2,1,2023-11-12,2023-11-24,752
3,3,2023-08-22,2023-09-20,104
4,3,2023-02-03,2023-03-04,34
5,2,2023-04-08,2023-05-02,493
6,2,2023-09-28,2023-10-05,686
7,2,2023-06-20,2023-06-21,898
8,2,2023-11-25,2023-12-19,272
9,1,2023-09-26,2023-10-26,734
10,1,2023-01-21,2023-02-15,217
11,2,2023-11-29,2023-12-29,182
12,3,2023-11-06,2023-11-27,957
13,3,2023-03-02,2023-03-04,427
14,2,2023-07-29,2023-08-05,308
15,2,2023-10-07,2023-11-06,675
16,2,2023-02-28,2023-03-12,316
17,3,2023-12-27,2024-01-09,706
18,2,2023-10-29,2023-11-01,370
19,2,2023-08-16,2023-09-12,417
20,3,2023-01-30,,360
21,3,2023-07-21,2023-07-26,498
22,3,2023-04-09,2023-05-01,658
23,1,2023-06-09,2023-06-22,740
24,2,2023-02-12,2023-02-17,95
25,1,2023-09-10,2023-10-01,201
26,1,2023-01-15,2023-01-21,770
27,3,2023-11-20,2023-12-17,707
28,1,2023-02-25,2023-03-23,696
29,2,2023-06-06,2023-06-20,379
30,2,2023-09-27,2023-10-02,344
31,1,2023-02-25,,188
32,1,2023-09-25,2023-10-12,136
33,3,2023-03-27,2023-04-05,447
34,2,2023-08-26,2023-09-14,753
35,2,2023-12-23,2024-01-17,256
36,2,2023-10-05,2023-10-10,990
37,2,2023-07-07,2023-07-11,366
38,3,2023-07-03,2023-07-29,775
39,3,2023-06-30,2023-07-30,566
40,3,2023-04-03,2023-04-23,554
41,3,2023-09-17,2023-10-09,121
42,1,2023-07-01,2023-07-15,644
43,1,2023-02-10,2023-02-17,128
44,1,2023-04-17,2023-05-12,37
45,2,2023-02-16,2023-03-02,780
46,1,2023-04-30,2023-05-17,857
47,2,2023-12-24,2023-12-27,666
48,1,2023-08-04,,128
49,2,2023-09-10,2023-09-18,682
50,1,2023-09-20,2023-09-27,742
51,3,2023-08-09,2023-08-28,507
52,3,2023-06-16,2023-07-14,811
53,2,2023-04-22,2023-05-20,731
54,3,2023-01-13,2023-01-28,849
55,1,2023-07-29,2023-08-22,642
56,1,2023-11-17,2023-11-22,246
57,2,2023-01-16,2023-01-17,501
58,1,2023-08-26,2023-09-02,697
59,1,2023-04-25,2023-05-10,323
60,3,2023-04-12,2023-04-13,551
61,1,2023-11-13,2023-12-11,490
62,2,2023-02-24,2023-03-16,437
63,1,2023-08-02,2023-08-29,415
64,3,2023-12-19,2023-12-24,357
65,1,2023-10-17,2023-10-27,362
66,3,2023-01-04,2023-01-17,207
67,3,2023-10-12,2023-11-01,510
68,1,2023-09-08,2023-09-13,17
69,1,2023-02-03,2023-02-12,700
70,3,2023-06-11,2023-07-08,262
71,2,2023-06-19,2023-06-24,483
72,2,2023-05-17,2023-05-29,195
73,3,2023-07-09,2023-08-03,161
74,2,2023-07-19,2023-08-18,302
75,3,2023-05-24,2023-06-23,156
76,1,2023-04-04,2023-05-04,667
77,2,2023-09-30,,592
78,3,2023-07-30,,647
79,3,2023-10-06,2023-10-13,885
80,1,2023-08-21,2023-08-22,854
81,1,2023-11-21,2023-12-09,27
82,2,2023-03-20,2023-04-17,809
83,3,2023-02-24,2023-03-01,670
84,2,2023-08-27,,825
85,3,2023-11-21,2023-11-24,144
86,2,2023-09-26,2023-10-03,92
87,1,2023-02-10,2023-02-20,529
88,3,2023-09-18,2023-10-10,88
89,1,2023-01-18,2023-01-29,474
90,2,2023-07-26,2023-08-08,370
91,2,2023-04-01,2023-04-23,306
92,1,2023-11-22,2023-11-24,527
93,2,2023-06-04,2023-06-30,615
94,3,2023-10-24,2023-11-14,54
95,1,2023-05-13,2023-06-02,607
96,3,2023-12-04,2023-12-07,504
97,3,2023-01-25,2023-02-07,271
98,1,2023-03-27,2023-04-05,365
99,3,2023-10-14,2023-11-01,455
100,1,2023-02-02,,532
101,1,2023-11-22,2023-11-27,722
102,3,2023-05-07,2023-05-19,750
103,3,2023-05-10,2023-05-29,69
104,3,2023-04-13,,618
105,2,2023-04-13,2023-04-28,641
106,1,2023-10-13,2023-10-20,996
107,2,2023-12-30,2024-01-11,954
108,2,2023-11-19,2023-11-20,861
109,3,2023-12-28,,864
110,3,2023-08-25,2023-09-04,712
111,3,2023-11-26,2023-12-01,164
112,1,2023-10-10,2023-10-15,532
113,2,2023-08-20,2023-08-31,916
114,2,2023-04-28,2023-04-29,924
115,3,2023-02-23,,882
116,2,2023-09-15,2023-10-09,154
117,1,2023-08-10,2023-08-22,878
118,3,2023-02-16,2023-03-17,326
119,2,2023-01-05,2023-01-09,282
120,1,2023-03-20,2023-04-06,632
121,2,2023-07-01,2023-07-26,554
122,2,2023-06-08,2023-07-01,106
123,3,2023-05-04,,391
124,2,2023-11-28,2023-12-02,849
125,2,2023-01-10,2023-02-03,22
126,2,2023-10-02,2023-11-01,352
127,1,2023-01-05,2023-01-14,962
128,2,2023-01-15,2023-02-07,966
129,3,2023-10-16,2023-11-10,346
130,3,2023-08-03,2023-08-23,80
131,2,2023-04-22,2023-04-29,332
132,1,2023-12-18,2024-01-17,624
133,3,2023-08-27,2023-09-03,154
134,2,2023-10-13,2023-11-05,950
135,3,2023-02-23,2023-03-16,364
136,3,2023-03-24,2023-03-29,204
137,2,2023-12-01,2023-12-09,971
138,3,2023-03-27,2023-04-04,269
139,1,2023-10-20,2023-10-21,432
140,2,2023-09-07,2023-10-02,201
141,1,2023-09-10,,434
142,3,2023-03-12,2023-04-06,130
143,1,2023-02-02,,30
144,2,2023-09-29,2023-10-27,875
145,3,2023-11-01,,806
146,1,2023-10-20,2023-10-21,321
147,1,2023-03-05,2023-03-30,190
148,1,2023-12-08,2023-12-27,815
149,1,2023-12-14,2024-01-04,166
150,3,2023-06-02,2023-06-24,812
151,3,2023-08-18,2023-09-11,99
152,2,2023-12-30,,716
153,3,2023-08-11,2023-08-27,139
154,1,2023-09-25,2023-10-23,553
155,1,2023-12-28,2024-01-25,281
156,3,2023-09-20,2023-10-16,879
157,1,2023-02-13,2023-02-16,183
